num	 lesson	student	skill	cell	right	eol
1	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s3cjD21W	Plot-non-terminating-improper-fraction	cell	1	eol
2	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s3cjD21W	Plot-non-terminating-improper-fraction	cell	0	eol
3	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s3cjD21W	Plot-non-terminating-improper-fraction	cell	1	eol
4	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sJJGL4Ig	Plot-non-terminating-improper-fraction	cell	0	eol
5	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sJJGL4Ig	Plot-non-terminating-improper-fraction	cell	1	eol
6	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sJJGL4Ig	Plot-non-terminating-improper-fraction	cell	1	eol
7	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sY6120Vs	Plot-non-terminating-improper-fraction	cell	1	eol
8	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sY6120Vs	Plot-non-terminating-improper-fraction	cell	1	eol
9	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sZBj33oo	Plot-non-terminating-improper-fraction	cell	1	eol
10	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sZBj33oo	Plot-non-terminating-improper-fraction	cell	0	eol
11	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sZBj33oo	Plot-non-terminating-improper-fraction	cell	1	eol
12	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s1T4w47X	Plot-non-terminating-improper-fraction	cell	1	eol
13	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s1T4w47X	Plot-non-terminating-improper-fraction	cell	1	eol
14	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sAhip2F0	Plot-non-terminating-improper-fraction	cell	0	eol
15	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sAhip2F0	Plot-non-terminating-improper-fraction	cell	1	eol
16	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	setcr9s4	Plot-non-terminating-improper-fraction	cell	0	eol
17	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	setcr9s4	Plot-non-terminating-improper-fraction	cell	0	eol
18	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	setcr9s4	Plot-non-terminating-improper-fraction	cell	0	eol
19	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	setcr9s4	Plot-non-terminating-improper-fraction	cell	1	eol
20	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sGmSR249	Plot-non-terminating-improper-fraction	cell	1	eol
21	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sks545SC	Plot-non-terminating-improper-fraction	cell	1	eol
22	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sks545SC	Plot-non-terminating-improper-fraction	cell	1	eol
23	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	slU0S6m4	Plot-non-terminating-improper-fraction	cell	1	eol
24	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	slU0S6m4	Plot-non-terminating-improper-fraction	cell	1	eol
25	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sVd9xmeb	Plot-non-terminating-improper-fraction	cell	1	eol
26	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	sVd9xmeb	Plot-non-terminating-improper-fraction	cell	1	eol
27	Unit-RATIONAL-IRRATIONAL-NUMBERS-Section-RATIONAL-IRRATIONAL-NUMBERS-1	s0I891Gg	Plot-non-terminating-improper-fraction	cell	0	eol
